pace              n.步,步伐,步调,速度 v.踱步,用步测
package           n.包装,包裹,箱,包装费,标准部件,成套设备
packet            n.小包裹,小捆;盒;一捆,一扎;邮船,班轮
pack              v.捆扎,打包;塞满,挤满n.包裹,背包,一群/副
pact              n.合同,条约,公约,协定
paddle            n.桨 v.用桨划
pad               n.垫,衬垫;便笺簿 v.加上衬垫
page              n.页,记录,事件,专栏 vt.给...标页码
pail              n.桶, 提桶; 一桶的量
painful           a.疼痛的,使痛苦的,费力[心]的,棘手的
pain              n.痛,痛苦;(pl.)努力,劳苦 vt.使痛苦
painter           n.漆工,画家
painting          n.上油漆,着色;绘画;油画;画法
paint             n.油漆,颜料 v.油漆;涂,涂漆;画;描绘,描述
pair              n.一对,一双;一副;夫妇 v.配对,成对
palace            n.宫,宫殿
pale              a.苍白的,灰白的;浅的,暗淡的
palm              n.手掌,掌状物,棕榈vt.与…握手,藏…于掌中
pamphlet          n.小册子
panda             n.熊猫
panel             n.面,板;控制板,仪表盘;专门小组
panic             n./a.恐慌(的),惊慌(的) vt.使惊慌,使害怕
pan               n.平底锅,盘子,面板
panorama          n.全景,全景画,全景摄影,全景照片[装置]
pant              n.喘气 v.喘,气喘吁吁地说
pants             n.裤子, 短裤
pant              气喘，气喘吁吁地说话
paperback         n.平装本，简装本
paper             n.纸;纸制品;报纸;(pl)文件;试卷;论文
parachute         n.降落伞 v.跳伞
parade            n./v.游行,夸耀n.检阅,阅兵式v.使列队行进
paradigm          n.典范; 范例; 示例
paradox           n.似非而是的话,自相矛盾的话,反论
paragraph         n.段,节;小新闻,短评
parallel          a.平行的,相同的,类似的n.平行线,类似,对比
paralyze          v.(paralyse)使瘫痪(麻痹);使丧失作用
parameter         n.参数,参量
parasite          n.寄生虫,食客
parcel            n.包裹,邮包,部分 v.打包,捆扎,分配
pardon            n.原谅,宽恕;请再说一遍 v.原谅,饶恕,赦免
parent            n.父母,母亲;(pl.)双亲;父母
park              n.公园,停车场,运动场 v.停放(汽车等),寄放
parliament        n.国会,议会
partial           a.部分的,不完全的;偏袒的,不公平的,偏爱的
participant       n.参加者,参与者 a.有份的,参与的
participate       v.(in)参与,参加;分享,分担;含有,带有
particle          n.粒子,微粒;极小量;小品词,虚词
particular        a.特殊的,苛求的,个别的n.详情,细节,特色
partly            ad.部分地,不完全地,在一定程度上
partner           n.合作者,合伙人,合股人,伙伴,舞伴,配偶
part              n.部分,角色,一方,零件,地区,部,篇v.使分开
party             n.聚会,政党,当事人 v.举行(参加)社交聚会
passage           n.通过,经过;通路,走廊;(一)段落,(一)节
passenger         n.乘客,旅客
passer-by         n.(pl.passers-by)过路人
passion           n.热情,激情,爱好;激怒;强烈感情
passive           a.被动的,消极的
passport          n.护照,达到某种目的的手段
pass              v.经/通/穿/度过;传递 n.通行证;考试及格
past              a.过去的 ad.过 n.过去，昔日 prep.(经)过
paste             n.糊,浆糊 v.粘,贴
pastime           n.消遣,娱乐
pasture           n.牧草地,牧场
patch             n.补丁,斑点,碎片小块 v.补,修补,掩饰
patent            a.专利的,特许的n.专利(权、品)v.批准专利
pathetic          a.可怜的, 悲惨的
path              n.小路,小径;路线,轨道
patience          n.耐心,忍耐
patient           a.有耐心的,能忍耐的 n.病人,患者
patriotic         a.爱国的
patrol            v.巡逻，巡查 n.巡逻，巡查;巡逻队
patron            n.赞助人;资助人;老顾客，老主顾
pattern           n.模式,式样;图案,图样 v.仿制,模仿
pat               v./n.轻拍,轻打,抚摸
pause             v./n.中止,暂停
pavement          n.人行道
pave              v.铺砌,铺(路)
paw               n.爪
payment           n.支付,付款额
pay               v.付款,付出代价,给予注意 n.工资,薪金
peaceful          a.和平的,平静的,安宁的,爱好和平的
peace             n.和平;平静,安宁
peach             n.桃,桃树
peak              n.山顶,最高点;峰,山峰 a.高峰的,最高的
peanut            n.花生
pea               n.豌豆
pearl             n.珍珠
pear              n.梨子,梨树
peasant           n.(不用于英国或美国)小农;佃农;农民
pebble            n.卵石
peculiar          a.古怪的,异常的;特殊的,特有的
pedal             n.踏板 v.踩踏板,骑自行车
pedestrian        n.步行者 a.徒步的,呆板的,通俗的
peel              v.削皮,剥皮 n.果皮
peep              v.偷看,窥视
peer              n.同辈,同等地位的人;贵族 v.凝视,隐约出现
penalty           n.处罚,刑罚,惩罚,罚金
pencil            n.铅笔 vt.用铅笔写
pendulum          n.摆,钟摆
penetrate         v.穿过,渗入,看穿
peninsula         n.半岛
penny             n.便士,美分
pen               n.钢笔,圆珠笔,作家,围栏 vt.写,关入栏中
pension           n.养老金,年金
people            n.人们，人;[the-]人民;一国人民，民族
pepper            n.胡椒粉,胡椒;辣椒
perceive          v.察觉,感知;理解,领悟
percentage        n.百分数,百分率,百分比
percent           n.(per cent)百分之...的
perfect           a.完善的;完全的;(语法)完成的 v.使完美
perfection        n.尽善尽美,完美
perfect           完美的，理想的
performance       n.履行,执行;表演,演出;性能,特性;成绩
perform           v.履行,执行;表演,演出;完成(事业)
perfume           n.香味,芳香;香料 v.使发香,洒香水于
perhaps           ad.也许,大概,恐怕
periodical        n.期刊,杂志 a.周期的,定期的
period            n.时期,时代;学时;周期,一段时间;句点
perish            v.丧生;凋谢;毁灭,消亡
permanent         a.永久的,持久的
permeate          v.弥漫，遍布，散布;渗入，渗透
permission        n.允许,同意
permit            v.许可,允许 n.许可证,执照
perpetual         a.永久的,永恒的,长期的
perplex           v.使困惑,使费解,使复杂化
per               prep.每;经,由
persecute         v.迫害
persevere         v.坚持,坚忍,不屈不挠
persist           v.(in)坚持,持续
personal          a.个人的,私人的;亲自的;身体的,人身的
personality       n.人格,个性
personnel         n.全体人员,全体职员;人事(部门)
person            n.人，喜欢(或适应)..的人;人物;人称
perspective       n.透视画法,透视图;远景,前途;观点,看法
persuade          v.说服,劝说;(of)使相信
persuasion        n.说服,说服力
pessimistic       a.悲观(主义)的
pest              n.害虫
petition          n.请愿书,申请书 v.(向…)请愿,正式请求
pet               n.爱畜,宠儿 a.宠爱的,表示亲昵的
petroleum         n.石油
petrol            n.汽油
petty             a.小(器、规模)的,不重要的,细微的,卑鄙的
pharmacy          n.药房,药剂学,制药业,配药业,一批备用药品
phase             n.阶段,状态,时期;相,相位
phenomenon        n.现象,稀有现象,珍品,奇迹,杰出人才
philosopher       n.哲学家,哲人
philosophy        n.哲学,哲理,人生观,价值观,世界观
phone             n.(telephone)电话,电话机,耳机 v.打电话
photo             n.(photograph)照片
phrase            n.短语,词语,习语
physical          a.物质的;肉体的,身体的;自然科学的,物理的
physician         n.内科医生
physicist         n.物理学家
physics           n.物理(学)
physiological     a.生理学的, 生理学上的
piano             n.钢琴
pickup            n.拾起,获得
pick              v.拾,采,摘;挑选,选择 n.镐,鹤嘴锄
picnic            n.野餐 v.(去)野餐
picture           n.画,图片;影片;美景 v.画,描述,想象
piece             n.(一)件/片/篇;碎片v.(together)拼合,拼凑
pie               n.馅饼
pierce            v.剌穿,刺破
pigeon            n.鸽
pig               n.猪，猪肉;猪一般的人(指肮脏，贪吃的人)
pile              n.堆,大量,大数目 v.(up)堆,叠,堆积
pilgrim           n.(在国外)旅游者;朝圣者,最初的移民
pillar            n.柱,台柱,栋梁
